【スキルプラス】月別KPI,,,,,,,,,,
最終更新: 2026-02-22 07:42,,,,,,,,,,
,,,,,,,,,,
月,集客数,個別予約数,実施数,売上,広告費,CPA,CPO,ROAS,LTV,粗利
2025-07,"28,659","2,412","2,406","¥379,526,043","¥74,691,769","¥2,606","¥30,967",508.1%,"¥13,243","¥304,834,274"
2025-08,"37,390","2,767","2,760","¥344,085,931","¥291,283,536","¥7,790","¥105,271",118.1%,"¥9,203","¥52,802,395"
2025-09,"35,123","2,872","2,867","¥367,866,141","¥114,134,663","¥3,250","¥39,740",322.3%,"¥10,474","¥253,731,478"
2025-10,"30,450","2,805","2,794","¥365,311,886","¥114,733,130","¥3,768","¥40,903",318.4%,"¥11,997","¥250,578,756"
2025-11,"45,172","3,602","3,248","¥422,151,964","¥187,477,981","¥4,150","¥52,048",225.2%,"¥9,345","¥234,673,983"
2025-12,"29,149","2,046","1,463","¥453,773,350","¥125,032,460","¥4,289","¥61,111",362.9%,"¥15,567","¥328,740,890"
2026-01,"19,326","1,907","1,047","¥174,593,156","¥72,370,338","¥3,745","¥37,950",241.2%,"¥9,034","¥102,222,818"
2026-02,"11,762","1,008",560,"¥116,713,366","¥43,457,460","¥3,695","¥43,113",268.6%,"¥9,923","¥73,255,906"
